"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"2024"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Total";"Arroz (em casca)";"Maçã";"Milho (em grão)";"Soja (em grão)"
"MU";"1507904";"Soure (PA)";"125";"-";"-";"-";"-"
"MU";"1507953";"Tailândia (PA)";"100035";"1400";"-";"18000";"17500"
"MU";"1507961";"Terra Alta (PA)";"916";"-";"-";"5";"-"
"MU";"1507979";"Terra Santa (PA)";"92";"-";"-";"10";"-"
"MU";"1508001";"Tomé-Açu (PA)";"62660";"700";"-";"500";"5000"
"MU";"1508035";"Tracuateua (PA)";"3576";"5";"-";"100";"-"
"MU";"1508050";"Trairão (PA)";"12646";"2100";"-";"2300";"2100"
"MU";"1508084";"Tucumã (PA)";"14088";"40";"-";"4000";"3000"
"MU";"1508100";"Tucuruí (PA)";"242";"-";"-";"54";"-"
"MU";"1508126";"Ulianópolis (PA)";"109378";"3300";"-";"10700";"75500"
"MU";"1508159";"Uruará (PA)";"23810";"500";"-";"1800";"800"
"MU";"1508209";"Vigia (PA)";"795";"-";"-";"-";"-"
